nombre,correo,web
"Contacto – Colegio a Distancia Educación ""SIGLO XXI""",carlospaspuel@educacionsiglo21.onmicrosoft.com,https://colegioeducacionsigloxxi.edu.ec/contacto/
Contacto - UE Natalia Jarrín,eduardo.cardenas@educacion.gob.ec,https://uenataliajarrin.edu.ec/index.php/contacto/
Contacto – Colegio Militar,comil4@comilcue.edu.ec,https://comilcue.edu.ec/contacto/
CONTACTO - Unidad Educativa Particular La Presentación,secretaria@lapresentacion.edu.ec,https://lapresentacion.edu.ec/contacto/
contactos – Colegio de America,secretaria@colegiodeamerica.edu.eccolecturia,https://colegiodeamerica.edu.ec/contactos/
contactos – Colegio de America,trabajosocial@colegiodeamerica.edu.ecinspeccion,https://colegiodeamerica.edu.ec/contactos/
contactos – Colegio de America,secretaria@colegiodeamerica.edu.ec,https://colegiodeamerica.edu.ec/contactos/
Contactos – Colegio de Liga,comunicaciones@ldu.org.ec,https://colegiodeliga.edu.ec/contactos/
Contactos – Colegio de Liga,vvallejo@ldu.org.ecCelular,https://colegiodeliga.edu.ec/contactos/
Contactos – Colegio de Liga,jnaranjo@colegiodeliga.edu.ecCelular,https://colegiodeliga.edu.ec/contactos/
Contactos – Colegio de Liga,cflores@colegiodeliga.edu.ec,https://colegiodeliga.edu.ec/contactos/
Contactos – Colegio de Liga,mesadeayuda@colegiodeliga.edu.ecCelular,https://colegiodeliga.edu.ec/contactos/
Contactos – Colegio de Liga,secretariageneral@colegiodeliga.edu.ec,https://colegiodeliga.edu.ec/contactos/
Contactos – Colegio de Liga,cbonilla@colegiodeliga.edu.ec,https://colegiodeliga.edu.ec/contactos/
Contactos – Colegio de Liga,sdaza@ldu.org.ec,https://colegiodeliga.edu.ec/contactos/
Contactos – Colegio de Liga,vvaca@colegiodeliga.edu.ecCelular,https://colegiodeliga.edu.ec/contactos/
Contactos – Colegio de Liga,fcabascango@colegiodeliga.edu.ec,https://colegiodeliga.edu.ec/contactos/
Colegio Los Pinos,contactenos@colegiolospinos.k12.ec,https://colegiolospinos.ec/
Colegio Los Pinos,admisiones@colegiolospinos.ec,https://colegiolospinos.ec/
Colegio Los Pinos,2463-1912434-021contactenos@colegiolospinos.ecContacto,https://colegiolospinos.ec/
Colegio privado Isaac Newton al norte de Quito,ibedon@isaacnewton.edu.ec,https://www.isaacnewton.edu.ec/
Colegio privado Isaac Newton al norte de Quito,kmoscoso@isaacnewton.edu.ecSECRETARIA,https://www.isaacnewton.edu.ec/
Colegio privado Isaac Newton al norte de Quito,gborja@isaacnewton.edu.ecSECRETARIA,https://www.isaacnewton.edu.ec/
Colegio privado Isaac Newton al norte de Quito,atrejo@isaacnewton.edu.ecSECRETARIA,https://www.isaacnewton.edu.ec/
Colegio privado Isaac Newton al norte de Quito,isaacnewton@isaacnewton.edu.ecMARKETING,https://www.isaacnewton.edu.ec/
Contactos - Unidad Educativa Particular Nuestra Señora del Rosario UIO,n@colrosarioquito.edu.ec,https://colrosarioquito.edu.ec/contactos/
Contactos - Unidad Educativa Particular Nuestra Señora del Rosario UIO,informacion@colrosarioquito.edu.ec,https://colrosarioquito.edu.ec/contactos/
Contactos - Unidad Educativa Particular Nuestra Señora del Rosario UIO,rosarista@colrosario.edu.ec,https://colrosarioquito.edu.ec/contactos/
Colegio Terranova - Inicio,ksalas@colegioterranova.edu.ec,https://colegioterranova.edu.ec/
